Process_ID,Timestamp,Tool_Type,Wafer_ID,Chamber_Temperature,Gas_Flow_Rate,RF_Power,Etch_Depth,Rotation_Speed,Vacuum_Pressure,Stage_Alignment_Error,Vibration_Level,UV_Exposure_Intensity,Particle_Count,Defect,Join_Status
P1940,2025-01-07 06:42:00,Etching,WAF90587,75.16213059,47.65239071,331.9968257,526.1404236,1398.165448,0.524120675,2.547695668,0.016154055,125.5988694,322,0,Joining
P1095,2025-01-07 06:42:00,Lithography,WAF81041,61.06355537,58.12594698,347.9865206,549.8383215,1807.880692,0.574774348,1.21181606,0.005337876,126.9924877,294,0,Joining
P1698,2025-01-07 06:42:00,Etching,WAF57965,69.06389795,55.65354187,358.2853921,615.8521947,1881.190802,0.563047842,0.781963436,0.011831987,116.5145655,436,0,Joining
P1526,2025-01-07 06:43:00,Etching,WAF52774,68.53595355,52.82331665,354.0736585,373.0612542,1112.384396,0.550622858,1.785084194,0.017740852,109.7325468,477,0,Joining
P1451,2025-01-07 06:43:00,Deposition,WAF89258,80.51263478,44.78828574,405.5619509,551.0647191,1810.633017,0.496287817,1.223779043,0.007182289,112.9882763,838,0,Joining
P1316,2025-01-07 06:43:00,Deposition,WAF79969,63.70223344,41.40444226,261.2133588,488.8334299,1440.321429,0.551440245,1.4005757,0.007766023,122.5129129,464,0,Joining
P1964,2025-01-07 06:43:00,Deposition,WAF41238,72.53698564,35.34508445,343.2068909,590.2255549,1192.768803,0.50271234,2.416038012,0.003025837,98.41685808,364,0,Joining
P1754,2025-01-07 06:43:00,Lithography,WAF78837,75.85392074,46.84021478,357.6044775,433.7378058,1430.131265,0.529998516,1.506116816,0.017211309,114.003004,526,0,Joining
P1742,2025-01-07 06:43:00,Deposition,WAF42544,75.25621756,67.95182763,287.3643472,343.2642275,1345.756127,0.421340419,1.884356025,0.008247987,130.435324,115,0,Joining
P1799,2025-01-07 06:43:00,Lithography,WAF16503,78.34793845,53.09405325,347.5100353,597.9204896,1329.983892,0.45640707,0.840975732,0.004055686,136.9268193,658,0,Joining
P1336,2025-01-07 06:43:00,Lithography,WAF58899,67.95668366,38.43564203,236.34429,402.7504651,1205.340708,0.586855972,1.676370647,0.005943025,125.5099587,642,0,Joining
P1709,2025-01-07 06:43:00,Lithography,WAF32413,74.88098146,44.98601979,275.9127945,541.4092489,1639.815844,0.500761348,2.610367075,0.008595337,139.4030693,120,0,Joining
P1141,2025-01-07 06:43:00,Deposition,WAF98765,74.40560618,43.92953698,262.3106173,583.4224951,1584.334651,0.544638384,2.735199741,0.016194364,159.4794202,317,0,Joining
P1710,2025-01-07 06:43:00,Lithography,WAF43033,78.84495768,48.46355796,308.3826364,446.8110305,1847.28006,0.599776489,1.578501159,0.014792897,111.0651248,527,0,Joining
P1717,2025-01-07 06:43:00,Etching,WAF91176,74.31721445,48.30746714,376.9827305,372.3607004,1844.662218,0.439317461,0.822697448,0.017806529,112.7982572,751,0,Joining
P1108,2025-01-07 06:44:00,Deposition,WAF59868,77.78931515,57.51028832,342.7600426,564.8464457,1557.616103,0.51831504,2.289567407,0.013527932,103.0711405,647,0,Joining
P1615,2025-01-07 06:44:00,Deposition,WAF84904,81.10917453,58.53745958,312.7784261,496.3962178,1259.024887,0.54576901,2.2681495,0.013128077,132.3943611,282,0,Joining
P1205,2025-01-07 06:44:00,Lithography,WAF19651,81.31312926,42.66270142,249.5859262,463.4173424,1568.287174,0.488444797,2.189820112,0.018633235,121.9096419,301,0,Joining
P1854,2025-01-07 06:44:00,Deposition,WAF27279,72.95153055,27.28386216,225.1948169,656.391066,1385.078447,0.427691487,2.588189484,0.008565111,125.9335725,833,0,Joining
P1309,2025-01-07 06:44:00,Deposition,WAF68335,75.58225989,56.31888765,317.3739329,602.3997675,1455.656166,0.394813891,0.492121366,0.01644626,128.8951079,885,0,Joining
P1494,2025-01-07 06:44:00,Deposition,WAF33763,65.08686836,43.40317804,289.7180929,531.2270878,1786.171728,0.584202081,2.025043507,0.00507809,97.11418877,348,0,Joining
P1555,2025-01-07 06:44:00,Deposition,WAF69608,72.97540655,53.52441654,264.67062,649.1794692,1619.64836,0.366472395,1.834249177,0.013772938,117.0927884,112,0,Joining
P1767,2025-01-07 06:44:00,Lithography,WAF74940,78.63556882,69.75457527,313.1426021,541.350805,1482.872107,0.556459752,3.618159444,0.005702538,130.1510511,890,1,Non-Joining
P1400,2025-01-07 06:44:00,Lithography,WAF43617,77.59565323,54.67658019,242.823653,539.8462598,1406.119843,0.454632978,2.549261204,0.003612161,133.7506879,438,0,Joining
P1082,2025-01-07 06:45:00,Deposition,WAF99116,70.28564582,52.84482463,329.4559829,657.6278859,1404.119601,0.539424702,-0.144571101,0.011394852,117.1183199,663,0,Joining
P1982,2025-01-07 06:45:00,Deposition,WAF89428,77.22605439,37.35507594,285.3682644,717.389728,1625.703286,0.499292489,2.473931624,0.013369823,121.6972119,640,0,Joining
P1796,2025-01-07 06:45:00,Etching,WAF93184,78.97057967,51.8356062,289.2928706,562.7457214,1542.027235,0.489298351,2.596521782,0.011114458,104.1089557,319,1,Non-Joining
P1784,2025-01-07 06:45:00,Deposition,WAF13553,67.43685613,42.09197878,318.4376996,453.118703,1947.037645,0.470909003,1.615759115,0.003864607,106.7095937,596,1,Non-Joining
P1200,2025-01-07 06:45:00,Lithography,WAF17782,80.41478415,49.80496934,344.7926951,484.0325508,1368.051028,0.435014646,2.291975177,0.008025233,118.7526963,387,0,Joining
P1354,2025-01-07 06:45:00,Etching,WAF50834,81.88788668,58.75024502,308.4944474,493.8420235,1514.744673,0.568589253,1.90656861,0.01030248,115.4566944,727,0,Joining
P1475,2025-01-07 06:45:00,Etching,WAF44117,71.04386412,53.60633348,331.236787,316.4988352,1787.385331,0.527632367,1.724223185,0.020163301,134.4498065,392,0,Joining
P1799,2025-01-07 06:45:00,Deposition,WAF18689,78.30590495,58.37968842,316.5523255,444.8740759,1560.679371,0.544949199,1.54015514,0.017021886,106.5259923,896,0,Joining
P1510,2025-01-07 06:45:00,Etching,WAF55991,68.77818758,47.57179628,347.8452574,383.9433327,1621.481975,0.558986452,1.465793123,0.00674142,122.0835575,700,0,Joining
P1723,2025-01-07 06:45:00,Etching,WAF11363,71.74883457,56.79011931,374.4116359,311.6381961,1490.759395,0.498906647,2.041515536,0.010746109,126.9999552,353,0,Joining
P1189,2025-01-07 06:45:00,Etching,WAF44890,69.18591499,44.70472459,434.2028908,593.1778617,1779.913976,0.562680051,2.040130067,0.009131325,132.2336131,172,0,Joining
P1730,2025-01-07 06:46:00,Lithography,WAF28405,72.2105387,61.11888085,278.1757052,491.8321141,1991.454661,0.477826629,2.81688122,0.015676351,115.91488,858,0,Joining
P1854,2025-01-07 06:46:00,Lithography,WAF33511,67.40294055,36.49903718,349.8634045,492.3843289,1227.549565,0.556530102,2.561670179,0.001552531,122.9391378,639,0,Joining
P1934,2025-01-07 06:46:00,Deposition,WAF81691,68.84903942,65.62823266,273.9102039,515.6883464,1570.531796,0.457132537,1.506769284,0.006346516,166.875469,493,0,Joining
P1565,2025-01-07 06:46:00,Deposition,WAF69269,81.22862539,45.35968784,273.505725,511.9007925,1534.314346,0.469560647,3.138614642,0.016495062,117.156634,694,1,Non-Joining
P1789,2025-01-07 06:46:00,Lithography,WAF66655,81.31682042,51.02629629,375.1941673,533.3648346,1582.932861,0.524092237,1.891733258,0.004187068,140.4372033,750,0,Joining
P1586,2025-01-07 06:46:00,Deposition,WAF53239,78.28021784,47.18243668,264.762725,556.1677709,1856.652835,0.571759191,1.560521815,0.010945267,118.6081205,252,0,Joining
P1507,2025-01-07 06:46:00,Etching,WAF26877,74.55499732,58.55982673,274.4560323,525.1787359,1753.992942,0.475511599,2.731239005,0.009785475,131.9475206,222,0,Joining
P1640,2025-01-07 06:46:00,Deposition,WAF13302,77.29516952,65.96041035,301.2266073,438.5775055,1381.604424,0.516201591,1.489287009,0.007529075,81.6177994,538,1,Non-Joining
P1723,2025-01-07 06:46:00,Lithography,WAF89973,72.83930943,41.82736347,344.052091,399.132204,1414.402952,0.56926524,2.782037969,0.012137643,118.3438421,319,0,Joining
P1924,2025-01-07 06:47:00,Etching,WAF56809,71.26939494,45.97048924,351.682674,363.1900165,1289.676872,0.595107042,2.8717664,0.013919254,98.96826015,116,0,Joining
P1192,2025-01-07 06:47:00,Etching,WAF23725,72.01027268,54.07652708,329.9199114,349.8274227,1323.554669,0.529797683,0.592655627,0.013185213,135.0669687,816,0,Joining
P1962,2025-01-07 06:47:00,Deposition,WAF47976,79.97446667,40.09796026,357.9672456,516.5367648,1260.990907,0.437306084,3.369370426,0.019634591,91.76606611,184,0,Joining
P1325,2025-01-07 06:47:00,Deposition,WAF73131,89.71376323,47.16000057,397.9045115,494.8392674,1324.837523,0.431456509,3.280844144,0.010481888,125.1854628,845,0,Joining
P1531,2025-01-07 06:47:00,Deposition,WAF99294,71.11643955,37.46024386,338.5056199,400.1681734,1950.135486,0.533472255,1.393658539,0.00252506,125.9187677,559,0,Joining
P1053,2025-01-07 06:47:00,Etching,WAF45284,81.21551789,32.37527329,297.5351811,462.6789066,1294.142312,0.469412518,1.701004486,0.016696029,114.0621356,914,0,Joining
P1851,2025-01-07 06:47:00,Lithography,WAF26705,82.01181327,46.8486683,307.9374934,464.2598974,1375.094123,0.498021893,1.989369549,0.01151954,134.5092316,949,1,Non-Joining
P1242,2025-01-07 06:48:00,Deposition,WAF59421,66.25418599,51.92784004,293.7731806,631.0339858,1611.176294,0.48583489,0.519641543,0.006671985,112.1821194,769,0,Joining
P1275,2025-01-07 06:48:00,Etching,WAF58555,74.49579326,57.01058349,335.4934494,609.8627957,1516.881921,0.500999122,3.066811798,0.012961356,123.6731235,146,0,Joining
P1771,2025-01-07 06:48:00,Etching,WAF99666,76.58629291,50.74474973,298.6525472,625.790817,1797.445734,0.458030037,1.936671723,0.007122725,149.4552164,611,1,Non-Joining
P1130,2025-01-07 06:48:00,Etching,WAF77238,83.33294672,56.16371069,331.0428295,723.2971379,1618.055319,0.546852939,0.877244999,0.021929147,139.3742242,514,0,Joining
P1203,2025-01-07 06:48:00,Deposition,WAF94256,67.20885076,50.58566968,281.0915871,410.3743306,1394.870473,0.522704491,2.384399262,0.006776082,115.7447825,447,0,Joining
P1786,2025-01-07 06:48:00,Etching,WAF36620,78.9474938,31.75841835,294.9738944,444.0669022,1331.783092,0.52373966,1.262637533,0.015553241,125.9567905,779,0,Joining
P1474,2025-01-07 06:48:00,Lithography,WAF71396,76.3250318,48.68817214,250.5008947,531.7950761,1595.203152,0.417772181,1.813179209,0.016363753,124.7430349,729,0,Joining
P1199,2025-01-07 06:49:00,Deposition,WAF64235,74.44443643,69.12349218,295.0458688,645.7464072,1951.01638,0.580117722,2.279026236,0.010320335,135.5541108,995,0,Joining
P1187,2025-01-07 06:49:00,Deposition,WAF27619,84.2721545,41.35038052,312.2363367,567.1611217,1220.173271,0.59594794,3.286252573,0.018597778,134.0726084,102,0,Joining
P1170,2025-01-07 06:49:00,Deposition,WAF93335,70.70956475,31.96315144,222.730688,418.7442448,1410.558659,0.556758477,1.951117869,0.01423558,125.8547726,663,0,Joining
P1948,2025-01-07 06:49:00,Lithography,WAF40373,69.59873719,37.87702866,255.9059218,530.5382698,1423.769532,0.45254461,1.737692945,0.018269413,131.5694145,416,0,Joining
P1684,2025-01-07 06:49:00,Etching,WAF22663,84.10947658,56.26843107,327.30829,488.6285654,1309.642888,0.500220078,1.214825654,0.012182005,133.3461112,957,0,Joining
P1101,2025-01-07 06:49:00,Etching,WAF70539,69.72947282,49.89512571,235.429785,469.1114107,1656.423075,0.455214484,1.644805399,0.017959903,95.6338815,277,0,Joining
P1110,2025-01-07 06:49:00,Lithography,WAF31169,83.19566064,35.61309585,221.6267229,659.0760816,1146.722759,0.452013751,1.813533218,0.003805619,130.6787287,156,0,Joining
P1986,2025-01-07 06:49:00,Lithography,WAF27077,64.70659657,37.73123079,287.473669,390.3407742,1359.813333,0.522330329,2.736247578,0.009107624,114.8140825,236,0,Joining
P1440,2025-01-07 06:49:00,Lithography,WAF79503,67.33499211,47.1702754,188.2992802,411.7586127,1360.266527,0.542574692,1.041292707,0.00342245,102.7684976,455,0,Joining
P1809,2025-01-07 06:49:00,Deposition,WAF44229,73.42420847,61.90347713,277.1096468,616.1936588,1208.038367,0.540072807,1.030558941,0.011436472,126.8759427,760,0,Joining
P1298,2025-01-07 06:50:00,Deposition,WAF14843,74.88593153,62.61106279,249.7819731,385.5451803,1538.229614,0.51062679,4.287435121,0.012906357,80.20443278,449,1,Non-Joining
P1434,2025-01-07 06:50:00,Etching,WAF86730,77.3165786,58.653647,329.5648958,360.0296594,1610.363097,0.431895757,2.715421529,0.009842925,127.6766663,540,0,Joining
P1923,2025-01-07 06:50:00,Lithography,WAF24852,78.79040005,48.97453669,362.7922837,449.2383131,1495.065783,0.521096172,2.915642015,0.009807173,146.0154986,820,0,Joining
P1918,2025-01-07 06:50:00,Lithography,WAF16575,81.71017665,56.50645628,253.7907506,385.5574889,1590.580477,0.521209648,2.990619511,0.007547679,119.7179362,497,0,Joining
P1438,2025-01-07 06:50:00,Etching,WAF24674,77.39593765,72.46337548,349.5651806,572.2691132,1528.021659,0.477778406,3.033463713,0.012130963,155.4768129,356,0,Joining
P1751,2025-01-07 06:50:00,Etching,WAF25405,69.96484568,41.93442817,355.1088541,364.7062581,1532.207503,0.435061865,1.786534763,0.013929321,115.1917672,222,0,Joining
P1019,2025-01-07 06:50:00,Etching,WAF19157,70.23237637,47.03483682,292.3073714,431.9475404,1529.71947,0.41800488,3.145594793,0.007316845,127.8075863,558,0,Joining
P1779,2025-01-07 06:50:00,Etching,WAF24819,76.83117877,49.37911759,190.1729356,363.4365103,1267.033044,0.484858278,2.196813742,0.014201906,94.06013563,183,0,Joining
P1447,2025-01-07 06:51:00,Etching,WAF48280,76.67034681,62.06735196,312.0910397,555.442319,1421.348287,0.456067977,1.882017209,0.008588478,113.5275127,728,0,Joining
P1576,2025-01-07 06:51:00,Deposition,WAF62022,77.26470797,70.64476317,310.3853518,512.812857,1416.972132,0.490161893,1.950443846,0.00906824,91.74452212,570,0,Joining
P1219,2025-01-07 06:51:00,Deposition,WAF53408,82.64665327,47.35283232,205.233918,534.2528944,1502.441736,0.491730308,3.376436396,0.003781639,93.89634731,963,0,Joining
P1937,2025-01-07 06:51:00,Deposition,WAF63140,74.57030264,52.45900551,350.0846738,582.6467863,1516.92667,0.50038054,2.567345348,0.008306956,132.0409302,507,0,Joining
P1231,2025-01-07 06:51:00,Lithography,WAF30997,75.54791125,70.31951025,248.8849179,597.8515912,1669.340664,0.568821369,2.626357477,0.017308327,148.9922546,808,0,Joining
P1262,2025-01-07 06:52:00,Deposition,WAF87952,74.15996597,40.07384959,332.2302591,460.7345218,1526.22523,0.570988533,1.672241716,0.014151668,104.4453468,595,0,Joining
P1877,2025-01-07 06:52:00,Etching,WAF24378,73.45842815,38.96401041,274.9360371,606.8710227,1551.632113,0.522570031,1.883655822,0.00698529,140.2377758,202,1,Non-Joining
P1938,2025-01-07 06:52:00,Etching,WAF14700,80.39638846,69.63392581,278.0913263,549.7922031,1306.468969,0.485861147,3.998282341,0.012595798,96.51964534,764,0,Joining
P1907,2025-01-07 06:52:00,Etching,WAF40283,80.02705508,45.58370455,273.8350294,509.6160736,1732.313375,0.490343631,1.81258712,0.016956818,106.8144433,163,0,Joining
P1942,2025-01-07 06:52:00,Etching,WAF54767,77.20239899,46.03043868,244.4607958,442.2699561,1299.296244,0.485208637,2.280334815,0.006988918,119.7497155,791,0,Joining
P1266,2025-01-07 06:52:00,Etching,WAF94784,67.68561082,49.83188153,261.1178069,558.9429157,1713.410171,0.477267047,0.949653164,0.014846749,94.61930597,507,1,Non-Joining
P1051,2025-01-07 06:52:00,Deposition,WAF90908,84.09818286,36.35471017,242.8930498,440.6417279,1283.496276,0.458478837,0.233913155,0.008743637,136.0803264,293,0,Joining
P1442,2025-01-07 06:52:00,Lithography,WAF87988,80.40177901,61.01674679,245.0037582,538.6655361,1401.665052,0.411588004,2.477557486,0.011589631,141.8529957,176,0,Joining
P1885,2025-01-07 06:52:00,Lithography,WAF69416,79.5386276,34.07867666,329.0161103,603.9479085,1570.988738,0.506394049,1.302116318,0.013258206,98.91516399,476,0,Joining
P1323,2025-01-07 06:52:00,Deposition,WAF68676,68.98171187,72.16186579,323.6245691,641.6349789,1459.699338,0.463559404,2.002614207,0.006302998,129.6336788,226,0,Joining
P1268,2025-01-07 06:53:00,Etching,WAF41852,76.14463701,58.75409425,281.3946204,567.1255451,1559.086216,0.580898348,1.111355526,0.002701362,119.3458699,568,0,Joining
P1045,2025-01-07 06:53:00,Lithography,WAF32597,66.34171238,45.71191391,298.6805523,624.1367213,1535.501061,0.458677503,2.077854092,0.007110797,131.3057466,141,0,Joining
P1888,2025-01-07 06:53:00,Lithography,WAF61224,68.34949809,55.66323966,338.287647,647.212493,1509.684539,0.434626667,1.64269149,0.009826324,108.359709,544,0,Joining
P1117,2025-01-07 06:53:00,Lithography,WAF74202,73.29688474,39.91510256,266.1429489,363.6532792,1596.263046,0.413156296,1.958290615,0.017547555,126.1959541,782,0,Joining
P1952,2025-01-07 06:53:00,Deposition,WAF57278,68.08085598,51.2148281,268.6743122,598.6961359,1676.160003,0.542581492,2.178920087,0.014637419,133.3545415,244,0,Joining
P1820,2025-01-07 06:53:00,Lithography,WAF43428,73.59780859,42.24630988,338.125829,492.965858,1428.511431,0.511519415,1.518270851,0.007910182,76.15926203,456,0,Joining
P1006,2025-01-07 06:53:00,Etching,WAF54327,67.87466612,59.54662185,254.5248899,570.0434663,1675.79615,0.505802643,1.517484487,0.012859668,111.891155,499,0,Joining
P1479,2025-01-07 06:53:00,Lithography,WAF45521,69.21277524,43.96885946,364.9172388,647.3059996,1311.034785,0.567763474,2.761899176,0.016158851,129.6095078,473,0,Joining
P1600,2025-01-07 06:53:00,Deposition,WAF20932,67.68156395,63.42271592,228.0204801,442.4399638,1416.999469,0.506694552,2.834260319,0.005423394,131.1107424,620,0,Joining
P1719,2025-01-07 06:53:00,Lithography,WAF39493,70.36428507,58.73603744,289.5170562,353.2898289,1529.213631,0.473914706,1.092947767,0.011485236,136.6150258,284,0,Joining
P1420,2025-01-07 06:53:00,Deposition,WAF23901,70.73555978,41.60711563,315.4364164,362.4634651,1511.35574,0.546034254,2.382259095,0.019517687,125.7023437,597,0,Joining
P1365,2025-01-07 06:53:00,Etching,WAF75519,68.14931129,49.71004315,379.4126455,508.9686392,1525.141854,0.491597934,2.448345843,0.007213751,93.93256568,112,0,Joining
P1347,2025-01-07 06:54:00,Deposition,WAF29517,85.36832088,46.80423391,320.548522,643.401932,1129.21727,0.490225333,0.560292606,0.010726077,136.1270757,199,0,Joining
P1053,2025-01-07 06:54:00,Deposition,WAF38080,79.68603135,52.58558571,296.9552339,661.3630093,1771.483629,0.572514005,2.105632162,0.007825219,110.9552398,488,0,Joining
P1428,2025-01-07 06:54:00,Deposition,WAF25327,77.63677373,36.07187214,230.3683828,614.5253443,1362.188486,0.518150501,2.444494937,0.010276771,131.7538719,416,1,Non-Joining
P1497,2025-01-07 06:54:00,Deposition,WAF13671,71.2693199,38.59055512,345.9698929,450.0104516,1207.195336,0.503475744,1.972613198,0.011525759,127.6654515,665,0,Joining
P1633,2025-01-07 06:54:00,Etching,WAF80221,84.81999618,42.43446746,403.0399596,482.0624345,1560.000535,0.437125183,2.139227211,0.011761683,83.37355795,312,1,Non-Joining
P1437,2025-01-07 06:54:00,Lithography,WAF54533,73.14892985,36.4287258,306.8134817,478.5979008,1365.27923,0.536515039,1.569293736,0.005267011,126.2081754,967,0,Joining
P1466,2025-01-07 06:54:00,Deposition,WAF86347,72.09372025,38.34256947,260.6354002,420.1268648,1370.407738,0.513443687,2.251436094,0.011763589,120.8107964,988,0,Joining
P1214,2025-01-07 06:54:00,Etching,WAF40475,75.51214332,44.2844784,375.6807991,472.6829327,1508.871156,0.479789127,3.219646345,0.014849885,104.3346163,483,1,Non-Joining
P1522,2025-01-07 06:54:00,Lithography,WAF28409,80.55926684,49.22125947,286.3341764,549.8119761,1445.444043,0.543018581,1.167018576,0.006295543,132.5373067,545,0,Joining
P1946,2025-01-07 06:55:00,Etching,WAF97163,64.32539055,44.65576438,316.8683792,590.8141702,1555.774954,0.456274048,2.429097533,0.000452958,122.7023971,585,1,Non-Joining
P1546,2025-01-07 06:55:00,Etching,WAF57042,73.95148947,39.70276402,232.8590068,509.6851251,1270.846123,0.581723611,2.408914626,-0.001083311,118.3272243,621,0,Joining
P1617,2025-01-07 06:55:00,Etching,WAF75164,73.39149844,42.61982412,218.5984154,509.9466278,1489.818701,0.410949527,1.903865675,0.012350531,106.9373613,489,0,Joining
P1962,2025-01-07 06:55:00,Etching,WAF24550,78.68893378,30.69214639,254.5394443,236.9049816,1382.99732,0.502805636,1.723083425,0.010753472,144.6114818,635,0,Joining
P1272,2025-01-07 06:55:00,Etching,WAF50849,81.47753791,49.82773817,389.7365804,422.9377347,1631.83139,0.517563999,2.304876129,0.010396674,137.7897404,268,1,Non-Joining
P1092,2025-01-07 06:55:00,Lithography,WAF78897,68.43751824,51.90628076,401.4214661,604.0994062,1257.493338,0.465199441,3.449426188,0.009714698,112.173485,695,0,Joining
P1621,2025-01-07 06:55:00,Deposition,WAF88183,66.50961926,51.67706324,280.4991625,280.64509,1227.796161,0.462674112,2.100602285,0.013409278,123.2927412,112,0,Joining
P1357,2025-01-07 06:55:00,Lithography,WAF31031,80.76116693,39.87184362,271.1368125,543.1395388,1029.563019,0.518065989,1.384659652,0.012440732,117.2492142,350,0,Joining
P1489,2025-01-07 06:56:00,Deposition,WAF92305,81.70484807,53.52978575,314.9480307,251.1342948,1919.894166,0.52964128,1.544366768,0.0109704,130.4063213,773,0,Joining
P1505,2025-01-07 06:56:00,Deposition,WAF57820,78.30964782,51.34860218,281.9644354,584.1064255,1220.171695,0.505649411,1.697196918,0.008466786,138.9495335,621,1,Non-Joining
P1086,2025-01-07 06:56:00,Deposition,WAF98348,78.79569599,34.68219961,275.1701968,499.9926586,1252.436983,0.576182555,1.444278083,0.008707012,97.92611681,637,0,Joining
P1848,2025-01-07 06:56:00,Lithography,WAF56556,71.19290516,48.54231554,265.7694988,563.2870781,1365.906138,0.490676765,1.72928556,0.008214927,99.00509793,513,0,Joining
P1168,2025-01-07 06:56:00,Deposition,WAF89882,79.05025698,59.8211263,266.7426697,456.9870497,1860.372219,0.513151745,1.715557809,0.006745758,95.06449136,535,0,Joining
P1649,2025-01-07 06:56:00,Deposition,WAF20911,80.52903652,43.66651929,308.6322351,538.0053209,1977.346153,0.354750682,2.574592048,0.007819725,123.6768705,509,1,Non-Joining
P1216,2025-01-07 06:56:00,Deposition,WAF10721,77.77542462,57.60938483,277.3815958,390.868888,1229.277531,0.485450352,2.547833272,0.002606314,128.9400105,985,1,Non-Joining
P1518,2025-01-07 06:56:00,Deposition,WAF61969,77.59440338,53.77444141,333.0442415,406.1724274,1498.937956,0.523753532,3.368491558,0.009087522,113.1238588,615,0,Joining
P1515,2025-01-07 06:57:00,Etching,WAF27645,68.48263786,40.4622012,312.3336355,521.9755807,1554.618479,0.47057463,1.976346296,0.012856502,129.1599388,217,0,Joining
P1643,2025-01-07 06:57:00,Lithography,WAF81473,71.7652859,48.98104374,309.4335786,224.8326876,1684.240716,0.481038723,1.161760623,0.00981716,110.3419807,886,0,Joining
P1986,2025-01-07 06:57:00,Lithography,WAF95077,68.68462175,73.06313315,297.9539134,614.2539111,1860.775185,0.488664949,2.99480017,0.013576346,90.11404177,149,0,Joining
P1501,2025-01-07 06:57:00,Deposition,WAF40431,77.15666093,43.79618725,290.6107796,572.8171626,1606.835159,0.599945345,0.672256088,0.007990223,108.6440789,590,0,Joining
P1512,2025-01-07 06:57:00,Etching,WAF88539,77.55821532,52.14698631,361.548366,486.4838444,1099.767,0.499656186,3.814641131,0.019409936,125.3216367,183,0,Joining
